date,branch,revenue,transactions,complaints,atm_uptime_percent,staff_count,fraud_flags,revenue_change_pct,alert_summary
2024-11-25,Branch_1,120661.29,4205,20,98.09,30,0,81.24,No significant issues
2024-12-02,Branch_1,110580.13,1401,24,94.8,47,0,-8.35,No significant issues
2024-12-09,Branch_1,121429.09,3811,3,99.65,13,0,9.81,No significant issues
2024-12-16,Branch_1,63851.97,2008,21,91.04,27,1,-47.42,Significant revenue drop; ATM downtime increased; Potential fraud detected
2024-12-23,Branch_1,148472.36,2375,30,95.0,12,1,132.53,Potential fraud detected
2024-12-30,Branch_1,124023.24,2990,43,93.19,47,0,-16.47,Spike in customer complaints
2025-01-06,Branch_1,102069.09,4294,4,89.87,25,0,-17.7,ATM downtime increased
2025-01-13,Branch_1,74488.21,3730,47,98.36,43,0,-27.02,Significant revenue drop; Spike in customer complaints
2025-01-20,Branch_1,92198.3,2786,38,95.38,33,0,23.78,Spike in customer complaints
2025-01-27,Branch_1,85860.72,2939,48,89.02,29,0,-6.87,Spike in customer complaints; ATM downtime increased
2025-02-03,Branch_1,139724.31,3769,18,89.9,34,0,62.73,ATM downtime increased
2025-02-10,Branch_1,74426.27,4341,47,91.84,48,0,-46.73,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2025-02-17,Branch_1,130330.37,3096,6,96.06,44,0,75.11,No significant issues
2025-02-24,Branch_1,106348.01,3435,47,92.49,40,0,-18.4,Spike in customer complaints
2025-03-03,Branch_1,85109.11,2607,5,95.56,19,0,-19.97,No significant issues
2025-03-10,Branch_1,91747.98,3798,8,89.54,34,1,7.8,ATM downtime increased; Potential fraud detected
2025-03-17,Branch_1,74540.29,1364,10,90.63,36,0,-18.76,ATM downtime increased
2025-03-24,Branch_1,122472.05,2243,12,98.47,17,0,64.3,No significant issues
2025-03-31,Branch_1,103510.72,2994,11,98.11,22,0,-15.48,No significant issues
2025-04-07,Branch_1,103239.28,4040,43,99.04,17,0,-0.26,Spike in customer complaints
2025-04-14,Branch_1,95363.5,4963,32,89.51,38,0,-7.63,Spike in customer complaints; ATM downtime increased
2025-04-21,Branch_1,63108.9,1085,47,90.58,15,0,-33.82,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2025-04-28,Branch_1,144595.77,2994,43,92.11,23,0,129.12,Spike in customer complaints
2025-05-05,Branch_1,118485.91,3266,19,99.17,12,0,-18.06,No significant issues
2025-05-12,Branch_1,101902.49,3616,44,95.95,38,0,-14.0,Spike in customer complaints
2025-05-19,Branch_1,83729.81,2711,27,94.73,14,0,-17.83,No significant issues
2025-05-26,Branch_1,77326.57,1878,20,97.64,48,1,-7.65,Potential fraud detected
2025-06-02,Branch_1,124351.68,3148,4,99.34,13,0,60.81,No significant issues
2025-06-09,Branch_1,63171.43,3592,3,96.47,15,0,-49.2,Significant revenue drop
2025-06-16,Branch_1,139770.73,4532,15,99.86,48,0,121.26,No significant issues
2025-06-23,Branch_1,130848.83,4903,12,91.68,22,0,-6.38,ATM downtime increased
2025-06-30,Branch_1,81898.42,1169,41,92.82,44,0,-37.41,Significant revenue drop; Spike in customer complaints
2025-07-07,Branch_1,140864.01,1787,50,90.72,20,0,72.0,Spike in customer complaints; ATM downtime increased
2025-07-14,Branch_1,99138.2,2085,16,98.96,11,0,-29.62,Significant revenue drop
2025-07-21,Branch_1,145745.41,1940,41,98.92,36,1,47.01,Spike in customer complaints; Potential fraud detected
2025-07-28,Branch_1,100223.31,4127,10,96.16,36,0,-31.23,Significant revenue drop
2025-08-04,Branch_1,143549.07,2760,8,94.79,46,0,43.23,No significant issues
2025-08-11,Branch_1,119228.68,1585,21,97.65,11,0,-16.94,No significant issues
2025-08-18,Branch_1,136592.37,1772,39,95.05,32,0,14.56,Spike in customer complaints
2025-08-25,Branch_1,89569.44,3670,34,90.91,33,0,-34.43,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2025-09-01,Branch_1,84642.44,1913,19,97.16,45,0,-5.5,No significant issues
2025-09-08,Branch_1,80701.63,1458,29,93.52,18,0,-4.66,No significant issues
2025-09-15,Branch_1,139858.24,2894,29,95.87,47,0,73.3,No significant issues
2025-09-22,Branch_1,117893.85,1512,8,96.28,37,0,-15.7,No significant issues
2025-09-29,Branch_1,105624.65,3933,34,89.73,27,1,-10.41,Spike in customer complaints; ATM downtime increased; Potential fraud detected
2025-10-06,Branch_1,70954.23,1629,48,92.1,24,0,-32.82,Significant revenue drop; Spike in customer complaints
2025-10-13,Branch_1,104314.97,1671,21,90.7,35,0,47.02,ATM downtime increased
2025-10-20,Branch_1,73311.7,1093,44,92.57,38,0,-29.72,Significant revenue drop; Spike in customer complaints
2025-10-27,Branch_1,146530.78,1179,13,92.73,21,0,99.87,No significant issues
2025-11-03,Branch_1,102665.25,2566,40,90.38,17,0,-29.94,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2025-11-10,Branch_1,108075.65,1188,22,98.74,19,1,5.27,Potential fraud detected
2025-11-17,Branch_1,83864.52,4604,37,99.71,14,0,-22.4,Significant revenue drop; Spike in customer complaints
2025-11-24,Branch_1,139770.69,4102,1,97.97,35,0,66.66,No significant issues
2025-12-01,Branch_1,112163.47,4266,25,93.62,50,0,-19.75,No significant issues
2025-12-08,Branch_1,108041.83,3308,41,91.49,41,0,-3.67,Spike in customer complaints; ATM downtime increased
2025-12-15,Branch_1,109468.8,2748,33,89.5,13,0,1.32,Spike in customer complaints; ATM downtime increased
2025-12-22,Branch_1,122792.55,2847,19,96.56,47,0,12.17,No significant issues
2025-12-29,Branch_1,128610.35,1557,5,97.73,40,0,4.74,No significant issues
2026-01-05,Branch_1,81177.89,4596,50,94.73,23,0,-36.88,Significant revenue drop; Spike in customer complaints
2026-01-12,Branch_1,131555.62,4235,2,91.74,24,0,62.06,ATM downtime increased
2026-01-19,Branch_1,55642.46,1664,25,96.55,49,0,-57.7,Significant revenue drop
2026-01-26,Branch_1,103909.05,1691,29,89.8,36,0,86.74,ATM downtime increased
2026-02-02,Branch_1,129815.31,4491,6,89.29,45,0,24.93,ATM downtime increased
2026-02-09,Branch_1,101413.76,1398,28,95.22,13,0,-21.88,Significant revenue drop
2026-02-16,Branch_1,64005.98,1284,1,91.55,21,0,-36.89,Significant revenue drop; ATM downtime increased
2026-02-23,Branch_1,123085.35,3082,7,99.98,24,0,92.3,No significant issues
2026-03-02,Branch_1,77902.13,1881,28,96.96,43,0,-36.71,Significant revenue drop
2026-03-09,Branch_1,130453.13,2574,5,93.16,17,0,67.46,No significant issues
2026-03-16,Branch_1,56176.83,1618,37,92.51,40,1,-56.94,Significant revenue drop; Spike in customer complaints; Potential fraud detected
2026-03-23,Branch_1,95315.71,1915,12,92.85,34,0,69.67,No significant issues
2026-03-30,Branch_1,62983.9,4762,43,96.13,42,1,-33.92,Significant revenue drop; Spike in customer complaints; Potential fraud detected
2026-04-06,Branch_1,147250.92,1318,33,99.6,20,0,133.79,Spike in customer complaints
2026-04-13,Branch_1,100690.99,2972,12,99.18,29,0,-31.62,Significant revenue drop
2026-04-20,Branch_1,64422.63,4966,26,91.76,49,0,-36.02,Significant revenue drop; ATM downtime increased
2026-04-27,Branch_1,75508.72,2842,18,96.96,40,0,17.21,No significant issues
2026-05-04,Branch_1,100747.88,3385,44,96.72,48,0,33.43,Spike in customer complaints
2026-05-11,Branch_1,131113.91,2040,9,94.68,23,0,30.14,No significant issues
2026-05-18,Branch_1,136693.25,4822,40,91.87,47,0,4.26,Spike in customer complaints; ATM downtime increased
2026-05-25,Branch_1,100895.3,4376,12,89.48,49,0,-26.19,Significant revenue drop; ATM downtime increased
2026-06-01,Branch_1,117008.41,1563,41,99.58,48,0,15.97,Spike in customer complaints
2026-06-08,Branch_1,116338.03,1714,37,92.05,32,0,-0.57,Spike in customer complaints
2026-06-15,Branch_1,101338.03,1874,26,94.96,31,0,-12.89,No significant issues
2026-06-22,Branch_1,86079.97,4821,31,99.7,50,1,-15.06,Spike in customer complaints; Potential fraud detected
2026-06-29,Branch_1,94523.13,2512,36,90.9,18,0,9.81,Spike in customer complaints; ATM downtime increased
2026-07-06,Branch_1,86628.73,3077,25,97.55,21,0,-8.35,No significant issues
2026-07-13,Branch_1,108467.89,3969,16,89.69,31,1,25.21,ATM downtime increased; Potential fraud detected
2026-07-20,Branch_1,77039.63,3985,40,94.09,31,0,-28.97,Significant revenue drop; Spike in customer complaints
2026-07-27,Branch_1,106826.99,3198,3,97.5,23,0,38.66,No significant issues
2026-08-03,Branch_1,57978.7,2339,29,93.23,37,0,-45.73,Significant revenue drop
2026-08-10,Branch_1,66688.82,1218,1,98.39,20,0,15.02,No significant issues
2026-08-17,Branch_1,127063.8,3402,14,94.07,41,0,90.53,No significant issues
2026-08-24,Branch_1,116970.86,3919,30,95.24,38,0,-7.94,No significant issues
2026-08-31,Branch_1,65488.99,4045,46,91.22,28,0,-44.01,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2026-09-07,Branch_1,129985.64,2411,4,89.64,20,1,98.48,ATM downtime increased; Potential fraud detected
2026-09-14,Branch_1,114041.05,2415,17,95.75,49,0,-12.27,No significant issues
2026-09-21,Branch_1,87569.99,4256,35,92.52,19,0,-23.21,Significant revenue drop; Spike in customer complaints
2026-09-28,Branch_1,76651.02,1500,16,90.78,50,0,-12.47,ATM downtime increased
2026-10-05,Branch_1,136336.66,2575,31,91.34,24,0,77.87,Spike in customer complaints; ATM downtime increased
2026-10-12,Branch_1,64449.91,1405,36,93.64,35,1,-52.73,Significant revenue drop; Spike in customer complaints; Potential fraud detected
2026-10-19,Branch_1,79973.97,4504,44,91.09,30,0,24.09,Spike in customer complaints; ATM downtime increased
2026-10-26,Branch_1,148270.43,2643,43,92.96,24,0,85.4,Spike in customer complaints
2026-11-02,Branch_1,54797.57,2096,11,93.11,28,0,-63.04,Significant revenue drop
2026-11-09,Branch_1,86030.56,2555,4,89.23,11,0,57.0,ATM downtime increased
2026-11-16,Branch_1,126203.52,2565,42,95.45,48,0,46.7,Spike in customer complaints
2026-11-23,Branch_1,143392.15,3748,44,93.15,38,0,13.62,Spike in customer complaints
2026-11-30,Branch_1,82154.51,4003,3,99.78,34,0,-42.71,Significant revenue drop
2026-12-07,Branch_1,119814.44,4577,10,92.25,14,0,45.84,No significant issues
2026-12-14,Branch_1,95311.29,4765,47,90.02,30,0,-20.45,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2026-12-21,Branch_1,58250.31,4782,13,96.07,12,0,-38.88,Significant revenue drop
2026-12-28,Branch_1,122914.27,1306,43,94.57,31,0,111.01,Spike in customer complaints
2027-01-04,Branch_1,114049.78,2286,46,94.25,10,0,-7.21,Spike in customer complaints
2027-01-11,Branch_1,90411.83,3795,24,94.96,16,0,-20.73,Significant revenue drop
2027-01-18,Branch_1,92610.9,3150,26,93.92,18,0,2.43,No significant issues
2027-01-25,Branch_1,116757.19,3312,4,98.75,32,0,26.07,No significant issues
2027-02-01,Branch_1,51338.79,2991,8,91.06,41,0,-56.03,Significant revenue drop; ATM downtime increased
2027-02-08,Branch_1,65273.41,4177,4,95.18,19,0,27.14,No significant issues
2027-02-15,Branch_1,71434.72,3421,32,95.39,34,0,9.44,Spike in customer complaints
2027-02-22,Branch_1,118116.36,3529,25,89.84,50,0,65.35,ATM downtime increased
2027-03-01,Branch_1,71467.87,3455,25,98.62,24,0,-39.49,Significant revenue drop
2027-03-08,Branch_1,111301.69,1608,38,96.66,23,0,55.74,Spike in customer complaints
2027-03-15,Branch_1,123190.13,3897,27,93.77,33,0,10.68,No significant issues
2027-03-22,Branch_1,131921.93,1829,0,94.45,29,0,7.09,No significant issues
2027-03-29,Branch_1,54242.91,4151,27,91.47,11,0,-58.88,Significant revenue drop; ATM downtime increased
2027-04-05,Branch_1,71139.03,3913,50,97.02,22,1,31.15,Spike in customer complaints; Potential fraud detected
2027-04-12,Branch_1,95579.19,4285,42,91.64,13,0,34.36,Spike in customer complaints; ATM downtime increased
2027-04-19,Branch_1,139447.33,1460,12,96.54,29,0,45.9,No significant issues
2027-04-26,Branch_1,103082.59,3853,7,96.07,32,0,-26.08,Significant revenue drop
2027-05-03,Branch_1,137062.67,3968,29,98.55,37,0,32.96,No significant issues
2027-05-10,Branch_1,59721.8,3030,3,94.71,26,0,-56.43,Significant revenue drop
2027-05-17,Branch_1,70804.1,3105,37,90.72,18,0,18.56,Spike in customer complaints; ATM downtime increased
2027-05-24,Branch_1,64541.4,1002,39,91.54,43,0,-8.85,Spike in customer complaints; ATM downtime increased
2027-05-31,Branch_1,84164.43,3153,34,91.56,41,1,30.4,Spike in customer complaints; ATM downtime increased; Potential fraud detected
2027-06-07,Branch_1,68304.99,2232,2,91.6,15,0,-18.84,ATM downtime increased
2027-06-14,Branch_1,135876.58,2831,12,94.58,45,0,98.93,No significant issues
2027-06-21,Branch_1,144746.21,4869,35,92.54,42,0,6.53,Spike in customer complaints
2027-06-28,Branch_1,105979.02,4281,23,99.53,30,0,-26.78,Significant revenue drop
2027-07-05,Branch_1,67920.79,3533,11,90.96,12,0,-35.91,Significant revenue drop; ATM downtime increased
2027-07-12,Branch_1,120878.17,1110,25,94.89,11,0,77.97,No significant issues
2027-07-19,Branch_1,123530.36,3092,20,95.65,25,0,2.19,No significant issues
2027-07-26,Branch_1,112562.96,2486,36,94.92,25,0,-8.88,Spike in customer complaints
2027-08-02,Branch_1,127094.84,1967,48,93.87,32,0,12.91,Spike in customer complaints
2027-08-09,Branch_1,136409.0,2119,28,91.77,36,0,7.33,ATM downtime increased
2027-08-16,Branch_1,79617.68,1232,33,99.21,21,0,-41.63,Significant revenue drop; Spike in customer complaints
2027-08-23,Branch_1,55087.16,2754,16,96.42,34,0,-30.81,Significant revenue drop
2027-08-30,Branch_1,92474.1,2127,6,99.81,19,0,67.87,No significant issues
2027-09-06,Branch_1,144167.73,3711,31,92.0,13,0,55.9,Spike in customer complaints
2027-09-13,Branch_1,77471.72,4585,31,99.99,26,0,-46.26,Significant revenue drop; Spike in customer complaints
2027-09-20,Branch_1,88164.58,2849,5,89.22,25,0,13.8,ATM downtime increased
2027-09-27,Branch_1,132940.66,2782,34,89.11,21,0,50.79,Spike in customer complaints; ATM downtime increased
2027-10-04,Branch_1,131769.8,3774,35,91.26,32,0,-0.88,Spike in customer complaints; ATM downtime increased
2027-10-11,Branch_1,106524.29,4413,38,96.08,18,0,-19.16,Spike in customer complaints
2027-10-18,Branch_1,88776.4,3493,29,95.37,12,0,-16.66,No significant issues
2027-10-25,Branch_1,142964.08,3315,29,96.86,18,0,61.04,No significant issues
2027-11-01,Branch_1,133296.54,4149,38,93.59,30,0,-6.76,Spike in customer complaints
2027-11-08,Branch_1,73928.54,1554,0,91.98,33,0,-44.54,Significant revenue drop; ATM downtime increased
2027-11-15,Branch_1,125700.27,4873,44,96.26,11,0,70.03,Spike in customer complaints
2027-11-22,Branch_1,56217.01,4934,39,98.93,12,0,-55.28,Significant revenue drop; Spike in customer complaints
2027-11-29,Branch_1,99095.38,1517,12,97.95,46,0,76.27,No significant issues
2027-12-06,Branch_1,125596.34,2587,16,99.58,44,0,26.74,No significant issues
2027-12-13,Branch_1,69741.62,4579,4,99.76,31,0,-44.47,Significant revenue drop
2027-12-20,Branch_1,135237.12,3923,0,94.68,48,0,93.91,No significant issues
2027-12-27,Branch_1,149341.6,1400,16,89.73,10,0,10.43,ATM downtime increased
2028-01-03,Branch_1,80108.78,2052,2,92.84,42,0,-46.36,Significant revenue drop
2028-01-10,Branch_1,138107.98,2291,21,98.82,27,0,72.4,No significant issues
2028-01-17,Branch_1,125598.06,1937,15,96.75,10,0,-9.06,No significant issues
2028-01-24,Branch_1,116898.3,2022,33,95.69,16,0,-6.93,Spike in customer complaints
2028-01-31,Branch_1,54410.27,1875,1,93.98,48,0,-53.46,Significant revenue drop
2028-02-07,Branch_1,75349.71,3477,49,91.44,10,0,38.48,Spike in customer complaints; ATM downtime increased
2028-02-14,Branch_1,63679.97,1376,24,98.32,18,0,-15.49,No significant issues
2028-02-21,Branch_1,133002.43,3911,35,90.86,41,0,108.86,Spike in customer complaints; ATM downtime increased
2028-02-28,Branch_1,110197.9,2025,6,89.28,25,0,-17.15,ATM downtime increased
2028-03-06,Branch_1,121671.5,1980,2,95.97,28,0,10.41,No significant issues
2028-03-13,Branch_1,56514.88,1408,21,98.54,39,0,-53.55,Significant revenue drop
2028-03-20,Branch_1,79596.99,2103,25,99.35,13,0,40.84,No significant issues
2028-03-27,Branch_1,128982.47,1285,31,92.15,17,0,62.04,Spike in customer complaints
2028-04-03,Branch_1,88305.82,1721,11,98.73,13,0,-31.54,Significant revenue drop
2028-04-10,Branch_1,141456.99,3138,34,91.19,13,0,60.19,Spike in customer complaints; ATM downtime increased
2028-04-17,Branch_1,107812.06,3380,31,96.47,49,0,-23.78,Significant revenue drop; Spike in customer complaints
2028-04-24,Branch_1,53624.33,3973,23,97.85,38,0,-50.26,Significant revenue drop
2028-05-01,Branch_1,148883.28,1986,21,93.76,45,0,177.64,No significant issues
2028-05-08,Branch_1,113782.58,1377,43,99.35,10,0,-23.58,Significant revenue drop; Spike in customer complaints
2028-05-15,Branch_1,147176.62,4436,10,92.57,22,0,29.35,No significant issues
2028-05-22,Branch_1,64180.9,4612,50,91.27,20,0,-56.39,Significant revenue drop; Spike in customer complaints; ATM downtime increased
2028-05-29,Branch_1,52444.76,4206,23,89.59,31,0,-18.29,ATM downtime increased
2028-06-05,Branch_1,74086.98,2341,39,94.78,10,0,41.27,Spike in customer complaints
2028-06-12,Branch_1,113037.01,2825,4,94.56,42,0,52.57,No significant issues
2028-06-19,Branch_1,137422.55,3821,42,92.73,32,0,21.57,Spike in customer complaints
2028-06-26,Branch_1,113189.65,3498,35,94.66,35,0,-17.63,Spike in customer complaints
2028-07-03,Branch_1,126267.54,1766,17,94.36,42,0,11.55,No significant issues
2028-07-10,Branch_1,52129.69,3050,14,94.47,43,0,-58.71,Significant revenue drop
2028-07-17,Branch_1,83290.79,4822,45,96.92,38,0,59.78,Spike in customer complaints
2028-07-24,Branch_1,79708.08,2537,4,94.75,46,0,-4.3,No significant issues
2028-07-31,Branch_1,125718.77,1630,44,98.33,34,1,57.72,Spike in customer complaints; Potential fraud detected
2028-08-07,Branch_1,143649.87,4310,33,92.54,29,0,14.26,Spike in customer complaints
2028-08-14,Branch_1,90204.78,4273,28,93.8,21,0,-37.21,Significant revenue drop
2028-08-21,Branch_1,138833.38,2135,45,96.59,46,0,53.91,Spike in customer complaints
2028-08-28,Branch_1,112905.48,4398,16,95.29,15,0,-18.68,No significant issues
2028-09-04,Branch_1,129840.12,2819,25,97.68,44,0,15.0,No significant issues
2028-09-11,Branch_1,90704.46,1367,16,97.35,44,0,-30.14,Significant revenue drop
2028-09-18,Branch_1,89559.55,4863,37,94.54,26,0,-1.26,Spike in customer complaints
2028-09-25,Branch_1,72071.97,1578,17,99.8,10,0,-19.53,No significant issues
2028-10-02,Branch_1,110970.8,3670,15,90.39,10,0,53.97,ATM downtime increased
2028-10-09,Branch_1,99530.31,3761,5,96.6,32,0,-10.31,No significant issues
2028-10-16,Branch_1,143257.35,4343,31,95.51,29,0,43.93,Spike in customer complaints
2028-10-23,Branch_1,117864.74,4805,25,96.95,34,0,-17.73,No significant issues
2028-10-30,Branch_1,85866.62,1620,29,92.72,50,0,-27.15,Significant revenue drop
2028-11-06,Branch_1,135185.7,4493,49,93.0,25,0,57.44,Spike in customer complaints
2028-11-13,Branch_1,78286.78,2893,30,98.41,33,0,-42.09,Significant revenue drop
2028-11-20,Branch_1,137530.29,2617,21,89.22,20,0,75.67,ATM downtime increased
2028-11-27,Branch_1,69139.99,3426,2,99.47,36,0,-49.73,Significant revenue drop
2028-12-04,Branch_1,142078.12,4953,36,95.31,37,0,105.49,Spike in customer complaints
2028-12-11,Branch_1,120785.54,3067,10,89.67,39,1,-14.99,ATM downtime increased; Potential fraud detected
2028-12-18,Branch_1,80648.87,2693,25,97.0,28,0,-33.23,Significant revenue drop
2028-12-25,Branch_1,143253.07,4319,38,89.73,10,0,77.63,Spike in customer complaints; ATM downtime increased
2029-01-01,Branch_1,137704.6,2935,19,91.06,46,0,-3.87,ATM downtime increased
2029-01-08,Branch_1,127923.55,1044,25,89.78,36,0,-7.1,ATM downtime increased
2029-01-15,Branch_1,145036.94,3031,38,89.99,38,0,13.38,Spike in customer complaints; ATM downtime increased
2029-01-22,Branch_1,53699.44,4901,41,91.2,38,1,-62.98,Significant revenue drop; Spike in customer complaints; ATM downtime increased; Potential fraud detected
2029-01-29,Branch_1,80047.19,1491,3,98.61,12,0,49.07,No significant issues
2029-02-05,Branch_1,84948.98,4300,33,98.91,28,0,6.12,Spike in customer complaints
2029-02-12,Branch_1,124607.88,4771,16,95.3,15,0,46.69,No significant issues
2029-02-19,Branch_1,135386.12,1211,1,91.21,21,0,8.65,ATM downtime increased
2029-02-26,Branch_1,85967.13,4903,40,98.03,27,0,-36.5,Significant revenue drop; Spike in customer complaints
2029-03-05,Branch_1,97231.8,1443,25,98.06,44,0,13.1,No significant issues
2029-03-12,Branch_1,118900.58,2868,23,90.79,37,1,22.29,ATM downtime increased; Potential fraud detected
2029-03-19,Branch_1,89163.84,4289,19,91.99,29,0,-25.01,Significant revenue drop; ATM downtime increased
2029-03-26,Branch_1,125411.9,4702,17,95.82,42,0,40.65,No significant issues
2029-04-02,Branch_1,119165.14,3140,32,95.88,21,0,-4.98,Spike in customer complaints
2029-04-09,Branch_1,125613.43,1932,16,95.72,31,0,5.41,No significant issues
2029-04-16,Branch_1,75561.32,4371,4,91.63,10,0,-39.85,Significant revenue drop; ATM downtime increased
2029-04-23,Branch_1,72362.63,3340,50,90.4,37,0,-4.23,Spike in customer complaints; ATM downtime increased
2029-04-30,Branch_1,81882.33,3867,29,97.53,37,0,13.16,No significant issues
2029-05-07,Branch_1,119471.75,1864,39,94.75,12,0,45.91,Spike in customer complaints
2029-05-14,Branch_1,89698.94,4688,2,97.11,35,0,-24.92,Significant revenue drop
2029-05-21,Branch_1,100510.21,3626,26,90.62,10,0,12.05,ATM downtime increased
2029-05-28,Branch_1,66416.36,2055,23,98.5,34,1,-33.92,Significant revenue drop; Potential fraud detected
2029-06-04,Branch_1,72565.25,2244,40,95.54,35,0,9.26,Spike in customer complaints
2029-06-11,Branch_1,119769.04,3924,50,94.2,27,0,65.05,Spike in customer complaints
2029-06-18,Branch_1,136821.28,1602,17,90.15,26,0,14.24,ATM downtime increased
2029-06-25,Branch_1,76623.79,4764,13,97.19,46,0,-44.0,Significant revenue drop
2029-07-02,Branch_1,108030.17,3003,39,97.16,49,1,40.99,Spike in customer complaints; Potential fraud detected
2029-07-09,Branch_1,88092.84,3789,40,95.74,28,0,-18.46,Spike in customer complaints
2029-07-16,Branch_1,105639.76,4841,7,94.63,18,0,19.92,No significant issues
2029-07-23,Branch_1,77963.89,1593,11,96.05,22,0,-26.2,Significant revenue drop
2029-07-30,Branch_1,132647.22,4968,2,93.61,29,0,70.14,No significant issues
2029-08-06,Branch_1,143243.94,1886,19,91.84,20,0,7.99,ATM downtime increased
2029-08-13,Branch_1,90794.63,4928,14,95.52,32,0,-36.62,Significant revenue drop
2029-08-20,Branch_1,75641.45,4491,48,96.02,14,0,-16.69,Spike in customer complaints
